Word	X.period_P1	X.period_P2
destratification	2,6123	-2,6123
cooperation	2,6031	-2,6031
dutch	2,6031	-2,6031
produce	2,5947	-2,5947
reasonable	2,5924	-2,5924
kansas	2,5901	-2,5901
availability	2,5897	-2,5897
queensland	2,5892	-2,5892
gem	2,5837	-2,5837
mw	2,5837	-2,5837
pellet	2,5837	-2,5837
unsteady	2,5837	-2,5837
weekly	2,5827	-2,5827
cropgro	2,5816	-2,5816
near	2,5758	-2,5758
planktonic	2,5737	-2,5737
diurnal	2,5667	-2,5667
saving	2,5559	-2,5559
release	2,548	-2,548
potassium	2,5398	-2,5398
restriction	2,5315	-2,5315
essentially	2,5293	-2,5293
biotic	2,5261	-2,5261
terrain	2,5202	-2,5202
half	2,5192	-2,5192
saturate	2,5189	-2,5189
oxic	2,5169	-2,5169
treat	2,515	-2,515
wsp	2,5148	-2,5148
root	2,5049	-2,5049
dredge	2,4927	-2,4927
mechanical	2,4915	-2,4915
calculate	2,4915	-2,4915
rock	2,49	-2,49
flow	2,4816	-2,4816
liquid	2,4726	-2,4726
surplus	2,4671	-2,4671
bulk	2,4661	-2,4661
geographical	2,4624	-2,4624
calcium	2,4599	-2,4599
fe	2,4595	-2,4595
mu	2,4589	-2,4589
survival	2,4511	-2,4511
variance	2,4467	-2,4467
jam	2,4425	-2,4425
brevoortia	2,4425	-2,4425
backfill	2,4425	-2,4425
interflow	2,4425	-2,4425
shaw	2,4425	-2,4425
benzene	2,4425	-2,4425
crawfish	2,4425	-2,4425
magic	2,4425	-2,4425
apopka	2,4425	-2,4425
meuse	2,4425	-2,4425
info	2,4425	-2,4425
underflow	2,4425	-2,4425
surge	2,4425	-2,4425
biological	2,4419	-2,4419
position	2,4416	-2,4416
silicate	2,4402	-2,4402
attribute	2,4391	-2,4391
zea	2,4324	-2,4324
define	2,4288	-2,4288
periphyton	2,4287	-2,4287
estimate	2,419	-2,419
cage	2,4095	-2,4095
hungary	2,4008	-2,4008
ornamental	2,4008	-2,4008
formosa	2,4008	-2,4008
combustion	2,4008	-2,4008
close	2,3999	-2,3999
mississippi	2,3994	-2,3994
ortho	2,3952	-2,3952
dyresm	2,3952	-2,3952
user	2,3939	-2,3939
grassland	2,3927	-2,3927
anabaena	2,3891	-2,3891
weakly	2,3891	-2,3891
development	2,3755	-2,3755
hypothesis	2,3748	-2,3748
record	2,3742	-2,3742
percolation	2,3709	-2,3709
proximity	2,3709	-2,3709
bamboo	2,3706	-2,3706
sigma	2,3706	-2,3706
ppb	2,3706	-2,3706
ba	2,3706	-2,3706
choptank	2,3706	-2,3706
estradiol	2,3706	-2,3706
richmond	2,3706	-2,3706
steam	2,3706	-2,3706
fallout	2,3706	-2,3706
desert	2,3706	-2,3706
seneca	2,3698	-2,3698
shelter	2,3698	-2,3698
mgl	2,3698	-2,3698
ingestion	2,3698	-2,3698
carbohydrate	2,3698	-2,3698
immediately	2,3687	-2,3687
spreadsheet	2,3638	-2,3638
nrm	2,3556	-2,3556
p2o5	2,3556	-2,3556
fathead	2,3556	-2,3556
collector	2,3556	-2,3556
src	2,3556	-2,3556
slow	2,3539	-2,3539
simulator	2,3529	-2,3529
strongly	2,3265	-2,3265
gaseous	2,3201	-2,3201
optimum	2,319	-2,319
field	2,3069	-2,3069
pelagic	2,3051	-2,3051
hypolimnetic	2,3051	-2,3051
supplemental	2,3046	-2,3046
spruce	2,3046	-2,3046
incident	2,3046	-2,3046
submodel	2,3046	-2,3046
elbe	2,3033	-2,3033
cv	2,2982	-2,2982
dip	2,2932	-2,2932
proportional	2,2932	-2,2932
primary	2,2916	-2,2916
investigation	2,2904	-2,2904
outflow	2,2859	-2,2859
consist	2,2779	-2,2779
train	2,276	-2,276
tank	2,2698	-2,2698
alternative	2,2683	-2,2683
extensive	2,2497	-2,2497
buildup	2,2495	-2,2495
suction	2,2495	-2,2495
remove	2,2334	-2,2334
external	2,2331	-2,2331
tkn	2,2313	-2,2313
bottom	2,226	-2,226
oxalate	2,2258	-2,2258
york	2,2219	-2,2219
orthophosphate	2,2188	-2,2188
epilimnion	2,2172	-2,2172
homogeneous	2,2158	-2,2158
north	2,2125	-2,2125
verification	2,2082	-2,2082
adequate	2,2057	-2,2057
add	2,204	-2,204
platte	2,2002	-2,2002
pulp	2,2002	-2,2002
kentucky	2,2002	-2,2002
tidal	2,1884	-2,1884
orient	2,1866	-2,1866
originally	2,1859	-2,1859
aggregation	2,1859	-2,1859
handle	2,1846	-2,1846
portion	2,1834	-2,1834
radionuclides	2,1817	-2,1817
