Word	X.period_P1	X.period_P2
heteroscedasticity	-2,8183	2,8183
device	-2,8079	2,8079
inertia	-2,7969	2,7969
perceptron	-2,7965	2,7965
roughness	-2,7965	2,7965
efficient	-2,7884	2,7884
horizon	-2,7756	2,7756
severe	-2,7756	2,7756
push	-2,7691	2,7691
ab	-2,7691	2,7691
repeatability	-2,7691	2,7691
uav	-2,7691	2,7691
hvs	-2,7691	2,7691
flc	-2,7691	2,7691
notably	-2,7691	2,7691
czech	-2,7691	2,7691
bilateral	-2,7691	2,7691
piezoelectric	-2,7691	2,7691
hadoop	-2,7691	2,7691
ridge	-2,7691	2,7691
harmful	-2,7691	2,7691
prevision	-2,7691	2,7691
var	-2,7691	2,7691
load	-2,7684	2,7684
price	-2,746	2,746
legacy	-2,7409	2,7409
commuter	-2,7261	2,7261
mode	-2,7106	2,7106
dissipation	-2,7081	2,7081
multimodal	-2,6981	2,6981
green	-2,689	2,689
fd	-2,6775	2,6775
negative	-2,6768	2,6768
analyze	-2,6754	2,6754
gm	-2,6681	2,6681
rainy	-2,6547	2,6547
distract	-2,6547	2,6547
cognitive	-2,64	2,64
choice	-2,6367	2,6367
aco	-2,6311	2,6311
waterway	-2,6249	2,6249
linear	-2,6219	2,6219
constraint	-2,5921	2,5921
keep	-2,5854	2,5854
3d	-2,5842	2,5842
crowd	-2,5826	2,5826
sideswipe	-2,5656	2,5656
machine	-2,5648	2,5648
regularize	-2,5561	2,5561
dnn	-2,5561	2,5561
tasep	-2,5561	2,5561
ebls	-2,5561	2,5561
i2v	-2,5561	2,5561
plos	-2,5561	2,5561
fds	-2,5561	2,5561
library	-2,5561	2,5561
vdf	-2,5561	2,5561
raff	-2,5561	2,5561
tolerant	-2,5561	2,5561
elm	-2,5561	2,5561
vtl	-2,5561	2,5561
cfc	-2,5561	2,5561
11p	-2,5561	2,5561
ferry	-2,5506	2,5506
diverge	-2,5283	2,5283
volatility	-2,5037	2,5037
spatiotemporal	-2,5017	2,5017
lack	-2,4996	2,4996
cf	-2,4849	2,4849
externality	-2,4822	2,4822
helpful	-2,482	2,482
stca	-2,4799	2,4799
chennai	-2,4799	2,4799
vietnam	-2,4799	2,4799
carpool	-2,4799	2,4799
attract	-2,4725	2,4725
context	-2,4699	2,4699
bimodal	-2,4675	2,4675
nanjing	-2,4675	2,4675
tourism	-2,4675	2,4675
tax	-2,4675	2,4675
scenario	-2,4629	2,4629
strategic	-2,4293	2,4293
overtake	-2,4255	2,4255
adas	-2,4245	2,4245
composite	-2,4245	2,4245
multiscale	-2,4136	2,4136
interference	-2,4	2,4
effectively	-2,3821	2,3821
adaptive	-2,381	2,381
virtual	-2,3779	2,3779
belief	-2,3732	2,3732
ride	-2,3646	2,3646
exist	-2,3629	2,3629
electrification	-2,3616	2,3616
shenzhen	-2,3616	2,3616
mitigate	-2,3578	2,3578
robust	-2,355	2,355
rapid	-2,3548	2,3548
calibration	-2,3514	2,3514
marginal	-2,3499	2,3499
prospect	-2,3476	2,3476
surround	-2,3469	2,3469
force	-2,3458	2,3458
ib	-2,3431	2,3431
tsunami	-2,3431	2,3431
scat	-2,3431	2,3431
